timestamp,TEMP (C),RH (%),Wind Speed,Wind Direction,GHI (w/m2),DNI (w/m2),DHI (w/m2)
2022-07-07-09,29.44,72.3,5.655056,210,641,803,96
2022-07-07-10,31.67,60.97,7.197344,180,807,852,104
2022-07-07-11,32.22,55.58,6.169152,200,926,880,108
2022-07-07-12,33.89,47.28,2.57048,200,984,877,122
2022-07-07-13,35,43.1,2.57048,194,985,877,122
2022-07-07-14,35.56,40.12,1.542288,188,922,861,121
2022-07-07-15,37.78,33.25,1.542288,182,578,175,433
2022-07-07-16,38.89,31.31,2.57048,176,537,328,315
2022-07-07-17,38.33,31.14,3.598672,170,440,691,94
2022-07-07-18,38.89,31.31,4.112768,170,232,530,72
2022-07-07-19,37.22,36.72,6.683248,170,43,10,42
2022-07-07-20,36.67,37.74,4.626864,160,0,0,0
2022-07-07-21,33.89,49.09,8.739632,150,0,0,0
2022-07-07-22,32.78,53.87,5.655056,170,0,0,0
2022-07-07-23,31.67,53.42,5.655056,170,0,0,0
2022-07-08-00,30.56,59.09,4.626864,180,0,0,0
2022-07-08-01,29.44,63.4,3.598672,190,0,0,0
2022-07-08-02,28.33,74.33,3.598672,180,0,0,0
2022-07-08-03,27.78,76.53,2.056384,190,0,0,0
2022-07-08-04,27.22,82.03,2.056384,180,0,0,0
2022-07-08-05,26.67,84.47,3.084576,190,0,0,0
2022-07-08-06,26.11,87.58,2.57048,180,49,165,33
2022-07-08-07,26.11,87.58,3.084576,180,230,511,78
2022-07-08-08,27.22,84.53,3.084576,200,442,691,98
2022-07-08-09,28.89,76.69,5.14096,210,643,785,112
2022-07-08-10,31.11,61.24,4.626864,210,810,837,120
2022-07-08-11,33.89,50.61,3.598672,220,931,867,126
2022-07-08-12,34.44,45.98,5.655056,220,993,879,129
2022-07-08-13,36.67,39.19,5.655056,220,992,877,129
2022-07-08-14,37.22,38.14,4.112768,250,929,862,127
2022-07-08-15,37.22,35.36,2.056384,215,806,822,127
2022-07-08-16,38.33,33.38,5.14096,180,638,767,117
2022-07-08-17,39.44,30.47,6.169152,170,439,672,103
2022-07-08-18,38.89,30.13,5.14096,165,229,498,80
2022-07-08-19,38.89,29.2,4.112768,160,50,167,34
2022-07-08-20,37.78,32,2.056384,180,0,0,0
2022-07-08-21,35,38.73,2.57048,140,0,0,0
2022-07-08-22,33.89,41.2,2.57048,170,0,0,0
2022-07-08-23,32.78,46.99,5.14096,160,0,0,0
2022-07-09-00,31.67,53.42,6.169152,170,0,0,0
2022-07-09-01,30.56,59.09,3.598672,170,0,0,0
2022-07-09-02,28.89,69.59,3.084576,190,0,0,0
2022-07-09-03,28.33,74.33,2.57048,190,0,0,0
2022-07-09-04,27.22,79.06,3.084576,210,0,0,0
2022-07-09-05,26.67,81.42,2.57048,210,0,0,0
2022-07-09-06,26.67,81.42,2.57048,210,47,164,32
2022-07-09-07,26.67,84.47,3.084576,220,225,497,78
2022-07-09-08,27.78,81.82,3.598672,230,433,663,103
2022-07-09-09,30,69.8,5.655056,240,633,769,113
2022-07-09-10,32.22,59.26,6.169152,260,800,820,125
2022-07-09-11,33.89,50.61,4.626864,250,919,848,132
2022-07-09-12,36.11,41.8,4.112768,270,989,889,115
2022-07-09-13,36.67,39.19,5.14096,210,989,889,115
2022-07-09-14,38.33,36.01,3.598672,208.3333333,928,878,112
2022-07-09-15,38.89,31.31,2.056384,206.6666667,810,852,106
2022-07-09-16,41.11,27.79,2.57048,205,644,803,97
