%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2022 196 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 71.35 26.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 130.00
2022 196 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 76.79 26.11 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 130.00
2022 196 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.79934 79.10 25.56 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 130.00
2022 196 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 81.55 25.56 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 130.00
2022 196 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 81.55 25.56 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
2022 196 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 84.58 25.00 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 80.00
2022 196 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 84.58 25.00 -999.00 0.00 39.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 30.00 120.00 60.00
2022 196 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 87.48 25.00 -999.00 0.00 213.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 83.00 455.00 100.00
2022 196 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 86.95 25.56 -999.00 0.00 422.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 110.00 638.00 140.00
2022 196 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 79.40 27.78 -999.00 0.00 622.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 126.00 740.00 135.00
2022 196 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 69.59 28.89 -999.00 0.00 791.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 137.00 800.00 160.00
2022 196 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.91321 61.20 30.00 -999.00 0.00 757.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 456.00 326.00 146.67
2022 196 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.25594 51.93 32.22 -999.00 0.00 808.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 480.00 335.00 133.33
2022 196 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 47.28 33.89 -999.00 0.00 166.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 166.00 0.00 120.00
2022 196 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 42.93 34.44 -999.00 0.00 792.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 417.00 404.00 140.00
2022 196 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 37.44 35.56 -999.00 0.00 453.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 402.00 61.00 110.00
2022 196 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 8.73963 43.10 35.00 -999.00 0.00 615.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 157.00 675.00 180.00
2022 196 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 42.97 35.56 -999.00 0.00 419.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 132.00 577.00 140.00
2022 196 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.19734 43.10 35.00 -999.00 0.00 215.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 96.00 401.00 150.00
2022 196 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 8.73963 47.28 33.89 -999.00 0.00 42.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 34.00 96.00 150.00
2022 196 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.16915 53.42 31.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 150.00
2022 196 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.16915 58.95 30.00 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
2022 196 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 65.26 28.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 196 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 69.71 28.33 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 160.00
