Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,14,0,0,30.56,63.02,3.084576,180,0,0,0,0,127.17
2022,7,14,1,0,29.44,69.69,4.112768,170,0,0,0,0,127.26
2022,7,14,2,0,28.89,71.73,4.112768,160,0,0,0,0,123.55
2022,7,14,3,0,28.33,77.12,4.112768,170,0,0,0,0,116.71
2022,7,14,4,0,27.78,81.82,3.084576,150,0,0,0,0,107.62
2022,7,14,5,0,27.78,81.82,3.084576,160,0,0,0,0,97.04
2022,7,14,6,0,26.67,87.05,3.084576,150,0,41,133,30,85.32
2022,7,14,7,0,26.67,87.05,2.056384,190,0,215,459,83,73.24
2022,7,14,8,0,27.78,81.82,3.084576,190,0,422,629,113,60.66
2022,7,14,9,0,29.44,69.69,3.084576,190,0,614,696,147,47.84
2022,7,14,10,0,31.11,59.21,2.57048,155,0,777,746,166,34.96
2022,7,14,11,0,32.78,50.33,2.056384,120,0,895,772,181,22.34
2022,7,14,12,0,35,39.95,2.056384,85,0,831,496,345,11.43
2022,7,14,13,0,32.22,50.36,11.824208,50,0,765,405,367,11.08
2022,7,14,14,0,36.11,31.77,9.767824,40,0,860,708,202,21.8
2022,7,14,15,0,36.67,29.55,6.169152,70,0,686,450,315,34.4
2022,7,14,16,0,36.11,31.77,4.626864,65,0,614,660,166,47.28
2022,7,14,17,0,36.11,33.97,3.084576,60,0,422,588,130,60.12
2022,7,14,18,0,36.11,33.97,2.57048,60,0,119,1,119,72.72
2022,7,14,19,0,36.11,33.97,4.112768,110,0,33,0,33,84.84
2022,7,14,20,0,34.44,38.56,4.626864,110,0,0,0,0,96.6
2022,7,14,21,0,28.89,58.69,4.626864,130,0,0,0,0,107.25
2022,7,14,22,0,28.33,60.81,3.598672,110,0,0,0,0,116.44
2022,7,14,23,0,27.22,64.69,3.084576,120,0,0,0,0,123.43
