Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,8,0,0,30.56,59.09,4.626864,180,0,0,0,0,126.41
2022,7,8,1,0,29.44,63.4,3.598672,190,0,0,0,0,126.45
2022,7,8,2,0,28.33,74.33,3.598672,180,0,0,0,0,122.74
2022,7,8,3,0,27.78,76.53,2.056384,190,0,0,0,0,115.95
2022,7,8,4,0,27.22,82.03,2.056384,180,0,0,0,0,106.93
2022,7,8,5,0,26.67,84.47,3.084576,190,0,0,0,0,96.41
2022,7,8,6,0,26.11,87.58,2.57048,180,0,49,165,33,84.76
2022,7,8,7,0,26.11,87.58,3.084576,180,0,230,511,78,72.71
2022,7,8,8,0,27.22,84.53,3.084576,200,0,442,691,98,60.17
2022,7,8,9,0,28.89,76.69,5.14096,210,0,643,785,112,47.37
2022,7,8,10,0,31.11,61.24,4.626864,210,0,810,837,120,34.48
2022,7,8,11,0,33.89,50.61,3.598672,220,0,931,867,126,21.8
2022,7,8,12,0,34.44,45.98,5.655056,220,0,993,879,129,10.68
2022,7,8,13,0,36.67,39.19,5.655056,220,0,992,877,129,10.52
2022,7,8,14,0,37.22,38.14,4.112768,250,0,929,862,127,21.57
2022,7,8,15,0,37.22,35.36,2.056384,215,0,806,822,127,34.25
2022,7,8,16,0,38.33,33.38,5.14096,180,0,638,767,117,47.14
2022,7,8,17,0,39.44,30.47,6.169152,170,0,439,672,103,59.95
2022,7,8,18,0,38.89,30.13,5.14096,165,0,229,498,80,72.5
2022,7,8,19,0,38.89,29.2,4.112768,160,0,50,167,34,84.57
2022,7,8,20,0,37.78,32,2.056384,180,0,0,0,0,96.24
2022,7,8,21,0,35,38.73,2.57048,140,0,0,0,0,106.79
2022,7,8,22,0,33.89,41.2,2.57048,170,0,0,0,0,115.87
2022,7,8,23,0,32.78,46.99,5.14096,160,0,0,0,0,122.73
