%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2022 193 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 51.80 31.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 130.00
2022 193 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 55.19 30.56 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 150.00
2022 193 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 65.26 28.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 193 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 72.11 28.33 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
2022 193 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 74.24 27.78 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 200.00
2022 193 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 79.06 27.22 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 193 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 81.42 26.67 -999.00 0.00 44.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 30.00 165.00 170.00
2022 193 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 87.58 26.11 -999.00 0.00 224.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 76.00 508.00 200.00
2022 193 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 81.82 27.78 -999.00 0.00 435.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 100.00 680.00 190.00
2022 193 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 67.27 30.00 -999.00 0.00 637.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 116.00 775.00 126.67
2022 193 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 59.15 31.67 -999.00 0.00 806.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 127.00 827.00 63.33
2022 193 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.31343 45.98 34.44 -999.00 0.00 929.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 134.00 859.00 171.67
2022 193 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 39.19 36.67 -999.00 0.00 902.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 398.00 513.00 280.00
2022 193 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 37.00 37.78 -999.00 0.00 993.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 141.00 868.00 240.00
2022 193 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 32.66 39.44 -999.00 0.00 931.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 138.00 854.00 166.67
2022 193 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 32.30 38.89 -999.00 0.00 803.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 149.00 792.00 93.33
2022 193 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 26.91 41.67 -999.00 0.00 635.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 138.00 732.00 20.00
2022 193 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 24.23 41.67 -999.00 0.00 434.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 120.00 628.00 45.00
2022 193 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 22.58 41.67 -999.00 0.00 224.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 90.00 448.00 70.00
2022 193 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.16915 27.47 40.56 -999.00 0.00 46.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 34.00 138.00 150.00
2022 193 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 35.36 37.22 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 150.00
2022 193 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 41.50 35.00 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
2022 193 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 50.80 33.33 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
2022 193 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 55.46 31.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 190.00
