Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,10,0,0,32.22,50.36,3.598672,200,0,0,0,0,126.64
2022,7,10,1,0,31.67,53.42,3.598672,190,0,0,0,0,126.7
2022,7,10,2,0,30.56,59.09,3.084576,200,0,0,0,0,122.99
2022,7,10,3,0,30,57.16,3.598672,200,0,0,0,0,116.18
2022,7,10,4,0,28.33,63.16,2.57048,200,0,0,0,0,107.14
2022,7,10,5,0,27.78,65.03,2.57048,200,0,0,0,0,96.61
2022,7,10,6,0,27.78,67.06,2.57048,240,0,46,164,31,84.94
2022,7,10,7,0,27.22,69.28,2.57048,225,0,221,486,78,72.88
2022,7,10,8,0,28.33,67.62,2.57048,210,0,428,652,105,60.33
2022,7,10,9,0,30.56,59.09,4.626864,220,0,626,744,123,47.53
2022,7,10,10,0,33.89,44.15,4.626864,240,0,793,801,134,34.64
2022,7,10,11,0,36.11,37.58,5.14096,220,0,915,837,139,21.97
2022,7,10,12,0,37.78,34.3,7.197344,220,0,919,600,330,10.91
2022,7,10,13,0,39.44,31.44,3.084576,220,0,978,837,156,10.68
2022,7,10,14,0,40.56,28.54,3.084576,220,0,877,596,323,21.62
2022,7,10,15,0,42.78,24.5,4.626864,350,0,796,778,153,34.28
2022,7,10,16,0,42.22,25.22,4.112768,280,0,632,725,139,47.17
2022,7,10,17,0,43.89,17.46,5.655056,330,0,407,438,188,59.99
2022,7,10,18,0,43.33,20.8,2.57048,350,0,175,50,160,72.56
2022,7,10,19,0,42.78,22.2,3.084576,20,0,48,150,34,84.65
2022,7,10,20,0,40.56,25.7,3.084576,30,0,0,0,0,96.34
2022,7,10,21,0,38.33,30.18,2.57048,30,0,0,0,0,106.92
2022,7,10,22,0,37.78,29.94,3.084576,30,0,0,0,0,116.03
2022,7,10,23,0,36.11,36.42,2.57048,170,0,0,0,0,122.94
