%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2022 187 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 60.92 30.56 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 187 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 67.28 28.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 187 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 71.78 27.78 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 187 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 76.70 27.22 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 190.00
2022 187 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 78.99 26.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 187 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 84.41 26.11 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 187 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 87.48 25.00 -999.00 0.00 52.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 34.00 199.00 180.00
2022 187 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 87.48 25.00 -999.00 0.00 239.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 72.00 554.00 190.00
2022 187 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 87.58 26.11 -999.00 0.00 453.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 88.00 730.00 200.00
2022 187 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 77.12 28.33 -999.00 0.00 653.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 99.00 816.00 180.00
2022 187 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 69.80 30.00 -999.00 0.00 819.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 108.00 861.00 230.00
2022 187 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 57.18 31.67 -999.00 0.00 936.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 113.00 885.00 230.00
2022 187 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 47.57 35.00 -999.00 0.00 995.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 121.00 889.00 170.00
2022 187 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 42.97 35.56 -999.00 0.00 994.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 122.00 886.00 160.00
2022 187 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 36.72 37.22 -999.00 0.00 929.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 119.00 870.00 160.00
2022 187 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 35.36 37.22 -999.00 0.00 776.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 133.00 778.00 170.00
2022 187 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 32.00 37.78 -999.00 0.00 637.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 117.00 764.00 240.00
2022 187 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 31.31 38.89 -999.00 0.00 365.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 192.00 346.00 130.00
2022 187 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 30.13 38.89 -999.00 0.00 192.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 139.00 176.00 210.00
2022 187 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.19734 31.01 37.78 -999.00 0.00 39.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 39.00 4.00 150.00
2022 187 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.71144 37.74 36.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 160.00
2022 187 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.19734 47.28 33.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 140.00
2022 187 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 55.58 32.22 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 130.00
2022 187 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 59.21 31.11 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 160.00
