Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,6,0,0,30.56,60.92,5.655056,180,0,0,0,0,126.21
2022,7,6,1,0,28.89,67.28,4.626864,180,0,0,0,0,126.22
2022,7,6,2,0,27.78,71.78,4.626864,180,0,0,0,0,122.52
2022,7,6,3,0,27.22,76.7,3.598672,190,0,0,0,0,115.73
2022,7,6,4,0,26.67,78.99,3.084576,180,0,0,0,0,106.72
2022,7,6,5,0,26.11,84.41,2.57048,180,0,0,0,0,96.22
2022,7,6,6,0,25,87.48,2.056384,180,0,52,199,34,84.59
2022,7,6,7,0,25,87.48,2.056384,190,0,239,554,72,72.55
2022,7,6,8,0,26.11,87.58,2.056384,200,0,453,730,88,60.02
2022,7,6,9,0,28.33,77.12,3.598672,180,0,653,816,99,47.22
2022,7,6,10,0,30,69.8,3.598672,230,0,819,861,108,34.33
2022,7,6,11,0,31.67,57.18,5.14096,230,0,936,885,113,21.64
2022,7,6,12,0,35,47.57,5.655056,170,0,995,889,121,10.46
2022,7,6,13,0,35.56,42.97,5.14096,160,0,994,886,122,10.39
2022,7,6,14,0,37.22,36.72,5.655056,160,0,929,870,119,21.53
2022,7,6,15,0,37.22,35.36,5.14096,170,0,776,778,133,34.23
2022,7,6,16,0,37.78,32,2.57048,240,0,637,764,117,47.12
2022,7,6,17,0,38.89,31.31,1.542288,130,0,365,346,192,59.93
2022,7,6,18,0,38.89,30.13,3.598672,210,0,192,176,139,72.47
2022,7,6,19,0,37.78,31.01,7.197344,150,0,39,4,39,84.52
2022,7,6,20,0,36.67,37.74,7.71144,160,0,0,0,0,96.16
2022,7,6,21,0,33.89,47.28,7.197344,140,0,0,0,0,106.69
2022,7,6,22,0,32.22,55.58,5.14096,130,0,0,0,0,115.73
2022,7,6,23,0,31.11,59.21,5.655056,160,0,0,0,0,122.55
