%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2022 184 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.16915 67.27 30.00 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
2022 184 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.68325 74.43 28.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 184 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 79.47 28.33 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 184 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 81.82 27.78 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 184 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 84.53 27.22 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
2022 184 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 87.05 26.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 184 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 90.25 26.11 -999.00 0.00 52.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 36.00 162.00 180.00
2022 184 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 90.25 26.11 -999.00 0.00 232.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 78.00 508.00 130.00
2022 184 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 84.53 27.22 -999.00 0.00 444.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 95.00 693.00 190.00
2022 184 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 74.51 29.44 -999.00 0.00 644.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 105.00 790.00 190.00
2022 184 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 63.02 30.56 -999.00 0.00 811.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 112.00 844.00 200.00
2022 184 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.16915 52.25 32.78 -999.00 0.00 931.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 116.00 875.00 220.00
2022 184 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 47.28 33.89 -999.00 0.00 992.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 122.00 884.00 200.00
2022 184 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 41.66 35.56 -999.00 0.00 993.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 123.00 884.00 180.00
2022 184 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 40.12 35.56 -999.00 0.00 930.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 120.00 870.00 160.00
2022 184 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 34.27 37.22 -999.00 0.00 810.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 116.00 840.00 200.00
2022 184 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 32.36 38.33 -999.00 0.00 644.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 107.00 790.00 220.00
2022 184 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 31.14 38.33 -999.00 0.00 446.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 92.00 705.00 190.00
2022 184 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.68325 31.14 38.33 -999.00 0.00 237.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 71.00 547.00 150.00
2022 184 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 29.94 37.78 -999.00 0.00 54.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 32.00 221.00 130.00
2022 184 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 34.27 37.22 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 150.00
2022 184 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.16915 44.59 34.44 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
2022 184 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.16915 48.80 32.78 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
2022 184 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 7.71144 57.43 31.11 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
