%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2022 192 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 50.61 33.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 192 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 57.49 32.22 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 190.00
2022 192 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 59.09 30.56 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 140.00
2022 192 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 61.20 30.00 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 160.00
2022 192 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 67.62 28.33 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 140.00
2022 192 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 65.13 28.33 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 150.00
2022 192 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 69.28 27.22 -999.00 0.00 45.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 31.00 160.00 130.00
2022 192 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 71.92 27.22 -999.00 0.00 222.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 80.00 483.00 180.00
2022 192 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 72.11 28.33 -999.00 0.00 429.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 109.00 648.00 180.00
2022 192 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 63.02 30.56 -999.00 0.00 627.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 129.00 739.00 210.00
2022 192 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 50.61 33.89 -999.00 0.00 793.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 143.00 791.00 200.00
2022 192 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 45.98 34.44 -999.00 0.00 914.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 153.00 820.00 220.00
2022 192 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 39.19 36.67 -999.00 0.00 989.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 126.00 879.00 210.00
2022 192 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 34.84 38.89 -999.00 0.00 989.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 128.00 876.00 220.00
2022 192 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 34.84 38.89 -999.00 0.00 926.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 129.00 858.00 193.33
2022 192 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 32.82 40.00 -999.00 0.00 582.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 363.00 266.00 166.67
2022 192 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 30.43 40.00 -999.00 0.00 187.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 184.00 4.00 140.00
2022 192 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 31.44 39.44 -999.00 0.00 358.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 218.00 279.00 220.00
2022 192 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 33.25 37.78 -999.00 0.00 183.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 72.00 372.00 220.00
2022 192 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 36.03 35.56 -999.00 0.00 40.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 40.00 4.00 230.00
2022 192 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 37.44 35.56 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 210.00
2022 192 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 41.34 34.44 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 110.00
2022 192 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 45.85 33.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 160.00
2022 192 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 50.33 32.78 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 140.00
