Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,3,0,0,30,67.27,6.169152,170,0,0,0,0,125.96
2022,7,3,1,0,28.89,74.43,6.683248,180,0,0,0,0,125.94
2022,7,3,2,0,28.33,79.47,5.14096,180,0,0,0,0,122.22
2022,7,3,3,0,27.78,81.82,4.626864,180,0,0,0,0,115.43
2022,7,3,4,0,27.22,84.53,4.112768,170,0,0,0,0,106.44
2022,7,3,5,0,26.67,87.05,3.084576,180,0,0,0,0,95.96
2022,7,3,6,0,26.11,90.25,2.056384,180,0,52,162,36,84.35
2022,7,3,7,0,26.11,90.25,1.542288,130,0,232,508,78,72.32
2022,7,3,8,0,27.22,84.53,3.598672,190,0,444,693,95,59.8
2022,7,3,9,0,29.44,74.51,5.14096,190,0,644,790,105,47.01
2022,7,3,10,0,30.56,63.02,3.084576,200,0,811,844,112,34.12
2022,7,3,11,0,32.78,52.25,6.169152,220,0,931,875,116,21.4
2022,7,3,12,0,33.89,47.28,2.056384,200,0,992,884,122,10.16
2022,7,3,13,0,35.56,41.66,2.57048,180,0,993,884,123,10.24
2022,7,3,14,0,35.56,40.12,5.14096,160,0,930,870,120,21.52
2022,7,3,15,0,37.22,34.27,5.14096,200,0,810,840,116,34.24
2022,7,3,16,0,38.33,32.36,4.626864,220,0,644,790,107,47.13
2022,7,3,17,0,38.33,31.14,2.57048,190,0,446,705,92,59.92
2022,7,3,18,0,38.33,31.14,6.683248,150,0,237,547,71,72.44
2022,7,3,19,0,37.78,29.94,5.14096,130,0,54,221,32,84.47
2022,7,3,20,0,37.22,34.27,5.655056,150,0,0,0,0,96.09
2022,7,3,21,0,34.44,44.59,6.169152,170,0,0,0,0,106.57
2022,7,3,22,0,32.78,48.8,6.169152,170,0,0,0,0,115.56
2022,7,3,23,0,31.11,57.43,7.71144,170,0,0,0,0,122.33
