Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,5,0,0,30,63.1,5.14096,180,0,0,0,0,126.12
2022,7,5,1,0,28.89,69.59,5.655056,180,0,0,0,0,126.12
2022,7,5,2,0,27.78,79.4,4.626864,170,0,0,0,0,122.41
2022,7,5,3,0,27.22,82.03,3.598672,180,0,0,0,0,115.63
2022,7,5,4,0,26.11,87.58,3.084576,190,0,0,0,0,106.62
2022,7,5,5,0,25.56,90.21,2.056384,190,0,0,0,0,96.13
2022,7,5,6,0,25.56,90.21,2.57048,180,0,53,193,34,84.51
2022,7,5,7,0,25.56,90.21,2.056384,180,0,238,549,73,72.47
2022,7,5,8,0,26.67,87.05,2.056384,200,0,453,731,88,59.94
2022,7,5,9,0,27.78,81.82,3.598672,210,0,655,821,97,47.15
2022,7,5,10,0,30,63.1,5.655056,220,0,822,869,104,34.26
2022,7,5,11,0,32.22,51.93,5.655056,190,0,943,896,109,21.56
2022,7,5,12,0,33.33,47.45,5.655056,210,0,1001,895,120,10.35
2022,7,5,13,0,35,41.5,6.169152,190,0,1000,894,120,10.33
2022,7,5,14,0,36.11,37.58,4.112768,170,0,936,879,118,21.52
2022,7,5,15,0,36.67,36.34,5.655056,200,0,811,829,126,34.23
2022,7,5,16,0,37.78,33.25,2.056384,200,0,643,773,117,47.12
2022,7,5,17,0,37.78,32,5.14096,200,0,443,677,104,59.92
2022,7,5,18,0,38.33,30.18,4.626864,190,0,233,510,80,72.46
2022,7,5,19,0,37.78,31.01,3.598672,130,0,52,183,34,84.5
2022,7,5,20,0,36.67,32.85,4.626864,160,0,0,0,0,96.13
2022,7,5,21,0,34.44,42.93,3.084576,140,0,0,0,0,106.64
2022,7,5,22,0,33.89,44.15,5.14096,170,0,0,0,0,115.66
2022,7,5,23,0,31.67,55.46,6.683248,180,0,0,0,0,122.47
