Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,7,0,0,30.56,59.09,4.626864,170,0,0,0,0,126.31
2022,7,7,1,0,29.44,65.36,5.14096,170,0,0,0,0,126.33
2022,7,7,2,0,28.89,69.59,4.112768,180,0,0,0,0,122.63
2022,7,7,3,0,27.78,74.24,3.084576,170,0,0,0,0,115.84
2022,7,7,4,0,27.22,79.06,3.084576,180,0,0,0,0,106.82
2022,7,7,5,0,26.67,81.42,2.056384,180,0,0,0,0,96.31
2022,7,7,6,0,26.11,81.89,2.056384,200,0,50,196,32,84.67
2022,7,7,7,0,26.11,84.41,2.056384,180,0,232,545,69,72.63
2022,7,7,8,0,27.22,82.03,3.598672,210,0,443,717,85,60.1
2022,7,7,9,0,29.44,72.3,5.655056,210,0,641,803,96,47.3
2022,7,7,10,0,31.67,60.97,7.197344,180,0,807,852,104,34.41
2022,7,7,11,0,32.22,55.58,6.169152,200,0,926,880,108,21.72
2022,7,7,12,0,33.89,47.28,2.57048,200,0,984,877,122,10.56
2022,7,7,13,0,35,43.1,2.57048,194,0,985,877,122,10.45
2022,7,7,14,0,35.56,40.12,1.542288,188,0,922,861,121,21.55
2022,7,7,15,0,37.78,33.25,1.542288,182,0,578,175,433,34.24
2022,7,7,16,0,38.89,31.31,2.57048,176,0,537,328,315,47.13
2022,7,7,17,0,38.33,31.14,3.598672,170,0,440,691,94,59.93
2022,7,7,18,0,38.89,31.31,4.112768,170,0,232,530,72,72.48
2022,7,7,19,0,37.22,36.72,6.683248,170,0,43,10,42,84.55
2022,7,7,20,0,36.67,37.74,4.626864,160,0,0,0,0,96.2
2022,7,7,21,0,33.89,49.09,8.739632,150,0,0,0,0,106.74
2022,7,7,22,0,32.78,53.87,5.655056,170,0,0,0,0,115.79
2022,7,7,23,0,31.67,53.42,5.655056,170,0,0,0,0,122.64
