%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2022 190 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.16915 53.42 31.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
2022 190 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 59.09 30.56 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
2022 190 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 69.59 28.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 190.00
2022 190 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 74.33 28.33 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 190.00
2022 190 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 79.06 27.22 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 210.00
2022 190 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 81.42 26.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 210.00
2022 190 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 81.42 26.67 -999.00 0.00 47.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 32.00 164.00 210.00
2022 190 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 84.47 26.67 -999.00 0.00 225.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 78.00 497.00 220.00
2022 190 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 81.82 27.78 -999.00 0.00 433.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 103.00 663.00 230.00
2022 190 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 69.80 30.00 -999.00 0.00 633.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 113.00 769.00 240.00
2022 190 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.16915 59.26 32.22 -999.00 0.00 800.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 125.00 820.00 260.00
2022 190 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 50.61 33.89 -999.00 0.00 919.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 132.00 848.00 250.00
2022 190 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 41.80 36.11 -999.00 0.00 989.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 115.00 889.00 270.00
2022 190 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 39.19 36.67 -999.00 0.00 989.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 115.00 889.00 210.00
2022 190 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 36.01 38.33 -999.00 0.00 928.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 112.00 878.00 208.33
2022 190 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 31.31 38.89 -999.00 0.00 810.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 106.00 852.00 206.67
2022 190 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 27.79 41.11 -999.00 0.00 644.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 97.00 803.00 205.00
2022 190 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 29.49 40.00 -999.00 0.00 445.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 86.00 718.00 203.33
2022 190 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 28.54 40.56 -999.00 0.00 235.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 67.00 560.00 201.67
2022 190 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 28.54 40.56 -999.00 0.00 52.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 30.00 234.00 200.00
2022 190 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 31.31 38.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 200.00
2022 190 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 36.34 36.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 190 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.79934 42.93 34.44 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 185.00
2022 190 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 45.69 33.33 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 190.00
