Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,12,0,0,31.67,51.8,3.084576,130,0,0,0,0,126.89
2022,7,12,1,0,30.56,55.19,4.112768,150,0,0,0,0,126.97
2022,7,12,2,0,28.89,65.26,2.57048,180,0,0,0,0,123.26
2022,7,12,3,0,28.33,72.11,2.57048,170,0,0,0,0,116.44
2022,7,12,4,0,27.78,74.24,2.056384,200,0,0,0,0,107.38
2022,7,12,5,0,27.22,79.06,2.056384,180,0,0,0,0,96.82
2022,7,12,6,0,26.67,81.42,1.542288,170,0,44,165,30,85.13
2022,7,12,7,0,26.11,87.58,1.542288,200,0,224,508,76,73.06
2022,7,12,8,0,27.78,81.82,2.57048,190,0,435,680,100,60.5
2022,7,12,9,0,30,67.27,3.084576,126.6666667,0,637,775,116,47.68
2022,7,12,10,0,31.67,59.15,2.056384,63.33333333,0,806,827,127,34.8
2022,7,12,11,0,34.44,45.98,2.313432,171.6666667,0,929,859,134,22.15
2022,7,12,12,0,36.67,39.19,2.57048,280,0,902,513,398,11.16
2022,7,12,13,0,37.78,37,3.084576,240,0,993,868,141,10.86
2022,7,12,14,0,39.44,32.66,1.542288,166.6666667,0,931,854,138,21.7
2022,7,12,15,0,38.89,32.3,2.056384,93.33333333,0,803,792,149,34.33
2022,7,12,16,0,41.67,26.91,3.598672,20,0,635,732,138,47.22
2022,7,12,17,0,41.67,24.23,1.542288,45,0,434,628,120,60.04
2022,7,12,18,0,41.67,22.58,3.084576,70,0,224,448,90,72.63
2022,7,12,19,0,40.56,27.47,6.169152,150,0,46,138,34,84.74
2022,7,12,20,0,37.22,35.36,4.112768,150,0,0,0,0,96.46
2022,7,12,21,0,35,41.5,4.626864,170,0,0,0,0,107.08
2022,7,12,22,0,33.33,50.8,4.112768,170,0,0,0,0,116.22
2022,7,12,23,0,31.67,55.46,3.598672,190,0,0,0,0,123.17
