%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2022 197 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 71.78 27.78 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 160.00
2022 197 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 74.15 27.22 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 197 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 76.36 26.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 197 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 79.17 26.11 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 190.00
2022 197 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 84.36 25.56 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 190.00
2022 197 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 84.58 25.00 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 190.00
2022 197 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 87.73 24.44 -999.00 0.00 37.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 30.00 99.00 150.00
2022 197 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.54229 87.48 25.00 -999.00 0.00 210.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 83.00 445.00 100.00
2022 197 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 84.41 26.11 -999.00 0.00 417.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 112.00 627.00 150.00
2022 197 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 77.12 28.33 -999.00 0.00 613.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 137.00 712.00 180.00
2022 197 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 65.27 30.00 -999.00 0.00 779.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 154.00 763.00 195.00
2022 197 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 51.93 32.22 -999.00 0.00 899.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 166.00 794.00 210.00
2022 197 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 47.28 33.89 -999.00 0.00 966.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 163.00 820.00 206.67
2022 197 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 44.59 34.44 -999.00 0.00 967.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 165.00 818.00 203.33
2022 197 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 37.58 36.11 -999.00 0.00 906.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 161.00 803.00 200.00
2022 197 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 35.22 36.67 -999.00 0.00 788.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 153.00 770.00 210.00
2022 197 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 35.05 36.11 -999.00 0.00 454.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 369.00 125.00 190.00
2022 197 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 32.98 37.22 -999.00 0.00 425.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 121.00 613.00 160.00
2022 197 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 33.90 36.67 -999.00 0.00 217.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 91.00 429.00 180.00
2022 197 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 32.85 36.67 -999.00 0.00 42.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 34.00 91.00 180.00
2022 197 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 33.97 36.11 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 197 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 39.65 33.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 160.00
2022 197 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 48.80 32.78 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 197 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 53.42 31.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 190.00
