Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,4,0,0,30,65.27,5.655056,180,0,0,0,0,126.03
2022,7,4,1,0,28.89,69.59,5.14096,180,0,0,0,0,126.03
2022,7,4,2,0,27.78,76.53,4.112768,180,0,0,0,0,122.31
2022,7,4,3,0,26.67,84.47,2.57048,190,0,0,0,0,115.53
2022,7,4,4,0,26.11,84.41,2.57048,200,0,0,0,0,106.53
2022,7,4,5,0,26.11,87.58,3.084576,180,0,0,0,0,96.04
2022,7,4,6,0,25.56,86.95,2.57048,190,0,54,194,35,84.43
2022,7,4,7,0,25.56,90.21,2.056384,190,0,238,534,76,72.39
2022,7,4,8,0,26.67,87.05,3.084576,200,0,451,712,94,59.87
2022,7,4,9,0,28.33,79.47,4.112768,190,0,654,810,103,47.08
2022,7,4,10,0,31.67,59.15,6.169152,180,0,821,861,109,34.19
2022,7,4,11,0,32.78,50.33,5.14096,180,0,940,889,113,21.48
2022,7,4,12,0,33.89,44.15,3.598672,170,0,1002,902,114,10.26
2022,7,4,13,0,35,39.95,4.112768,230,0,1000,899,116,10.28
2022,7,4,14,0,37.22,34.27,6.683248,140,0,936,885,113,21.52
2022,7,4,15,0,37.78,32,5.655056,200,0,817,859,106,34.23
2022,7,4,16,0,37.78,32,7.197344,160,0,382,70,334,47.12
2022,7,4,17,0,38.33,31.14,4.626864,130,0,451,732,84,59.92
2022,7,4,18,0,38.33,30.18,6.683248,150,0,240,579,66,72.45
2022,7,4,19,0,37.22,31.96,6.683248,150,0,55,261,30,84.49
2022,7,4,20,0,36.67,31.71,5.14096,160,0,0,0,0,96.11
2022,7,4,21,0,33.89,37.1,3.598672,180,0,0,0,0,106.6
2022,7,4,22,0,32.78,43.85,5.14096,180,0,0,0,0,115.61
2022,7,4,23,0,31.67,49.88,5.14096,170,0,0,0,0,122.4
