%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2022 186 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 63.10 30.00 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 186 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 69.59 28.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 186 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 79.40 27.78 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
2022 186 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 82.03 27.22 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
2022 186 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 87.58 26.11 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 190.00
2022 186 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 90.21 25.56 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 190.00
2022 186 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.57048 90.21 25.56 -999.00 0.00 53.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 34.00 193.00 180.00
2022 186 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 90.21 25.56 -999.00 0.00 238.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 73.00 549.00 180.00
2022 186 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 87.05 26.67 -999.00 0.00 453.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 88.00 731.00 200.00
2022 186 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 81.82 27.78 -999.00 0.00 655.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 97.00 821.00 210.00
2022 186 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 63.10 30.00 -999.00 0.00 822.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 104.00 869.00 220.00
2022 186 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 51.93 32.22 -999.00 0.00 943.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 109.00 896.00 190.00
2022 186 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 47.45 33.33 -999.00 0.00 1001.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 120.00 895.00 210.00
2022 186 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.16915 41.50 35.00 -999.00 0.00 1000.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 120.00 894.00 190.00
2022 186 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.11277 37.58 36.11 -999.00 0.00 936.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 118.00 879.00 170.00
2022 186 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.65506 36.34 36.67 -999.00 0.00 811.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 126.00 829.00 200.00
2022 186 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.05638 33.25 37.78 -999.00 0.00 643.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 117.00 773.00 200.00
2022 186 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 32.00 37.78 -999.00 0.00 443.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 104.00 677.00 200.00
2022 186 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 30.18 38.33 -999.00 0.00 233.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 80.00 510.00 190.00
2022 186 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.59867 31.01 37.78 -999.00 0.00 52.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 34.00 183.00 130.00
2022 186 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.62686 32.85 36.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 160.00
2022 186 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.08458 42.93 34.44 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 140.00
2022 186 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 5.14096 44.15 33.89 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 170.00
2022 186 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 6.68325 55.46 31.67 -999.00 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 180.00
