Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,11,0,0,33.89,50.61,3.598672,180,0,0,0,0,126.76
2022,7,11,1,0,32.22,57.49,4.112768,190,0,0,0,0,126.83
2022,7,11,2,0,30.56,59.09,3.084576,140,0,0,0,0,123.12
2022,7,11,3,0,30,61.2,2.056384,160,0,0,0,0,116.31
2022,7,11,4,0,28.33,67.62,2.056384,140,0,0,0,0,107.26
2022,7,11,5,0,28.33,65.13,4.112768,150,0,0,0,0,96.71
2022,7,11,6,0,27.22,69.28,2.57048,130,0,45,160,31,85.03
2022,7,11,7,0,27.22,71.92,3.598672,180,0,222,483,80,72.97
2022,7,11,8,0,28.33,72.11,4.112768,180,0,429,648,109,60.41
2022,7,11,9,0,30.56,63.02,5.14096,210,0,627,739,129,47.6
2022,7,11,10,0,33.89,50.61,5.14096,200,0,793,791,143,34.72
2022,7,11,11,0,34.44,45.98,4.626864,220,0,914,820,153,22.06
2022,7,11,12,0,36.67,39.19,5.655056,210,0,989,879,126,11.03
2022,7,11,13,0,38.89,34.84,2.57048,220,0,989,876,128,10.77
2022,7,11,14,0,38.89,34.84,2.056384,193.3333333,0,926,858,129,21.66
2022,7,11,15,0,40,32.82,3.084576,166.6666667,0,582,266,363,34.3
2022,7,11,16,0,40,30.43,3.084576,140,0,187,4,184,47.19
2022,7,11,17,0,39.44,31.44,2.57048,220,0,358,279,218,60.01
2022,7,11,18,0,37.78,33.25,5.655056,220,0,183,372,72,72.59
2022,7,11,19,0,35.56,36.03,4.112768,230,0,40,4,40,84.69
2022,7,11,20,0,35.56,37.44,1.542288,210,0,0,0,0,96.4
2022,7,11,21,0,34.44,41.34,2.57048,110,0,0,0,0,107
2022,7,11,22,0,33.89,45.85,3.084576,160,0,0,0,0,116.13
2022,7,11,23,0,32.78,50.33,4.112768,140,0,0,0,0,123.05
