Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,15,0,0,26.67,71.35,2.57048,130,0,0,0,0,127.32
2022,7,15,1,0,26.11,76.79,2.056384,130,0,0,0,0,127.42
2022,7,15,2,0,25.56,79.1,1.799336,130,0,0,0,0,123.7
2022,7,15,3,0,25.56,81.55,1.542288,130,0,0,0,0,116.85
2022,7,15,4,0,25.56,81.55,2.056384,110,0,0,0,0,107.75
2022,7,15,5,0,25,84.58,2.056384,80,0,0,0,0,97.15
2022,7,15,6,0,25,84.58,1.542288,60,0,39,120,30,85.42
2022,7,15,7,0,25,87.48,1.542288,100,0,213,455,83,73.33
2022,7,15,8,0,25.56,86.95,1.542288,140,0,422,638,110,60.75
2022,7,15,9,0,27.78,79.4,2.57048,135,0,622,740,126,47.92
2022,7,15,10,0,28.89,69.59,2.57048,160,0,791,800,137,35.04
2022,7,15,11,0,30,61.2,2.913210667,146.6666667,0,757,326,456,22.43
2022,7,15,12,0,32.22,51.93,3.255941333,133.3333333,0,808,335,480,11.57
2022,7,15,13,0,33.89,47.28,3.598672,120,0,166,0,166,11.2
2022,7,15,14,0,34.44,42.93,3.598672,140,0,792,404,417,21.86
2022,7,15,15,0,35.56,37.44,5.14096,110,0,453,61,402,34.44
2022,7,15,16,0,35,43.1,8.739632,180,0,615,675,157,47.32
2022,7,15,17,0,35.56,42.97,5.14096,140,0,419,577,132,60.16
2022,7,15,18,0,35,43.1,7.197344,150,0,215,401,96,72.77
2022,7,15,19,0,33.89,47.28,8.739632,150,0,42,96,34,84.9
2022,7,15,20,0,31.67,53.42,6.169152,150,0,0,0,0,96.67
2022,7,15,21,0,30,58.95,6.169152,170,0,0,0,0,107.34
2022,7,15,22,0,28.89,65.26,3.084576,180,0,0,0,0,116.55
2022,7,15,23,0,28.33,69.71,3.084576,160,0,0,0,0,123.57
