Year,Month,Day,Hour,Minute,TEMP (C),RH (%),Wind Speed,Wind Direction,Rain,GHI (w/m2),DNI (w/m2),DHI (w/m2),Solar Zenith Angle
2022,7,13,0,0,30.56,56.92,2.57048,160,0,0,0,0,127.03
2022,7,13,1,0,30,61.2,2.57048,160,0,0,0,0,127.11
2022,7,13,2,0,28.89,65.26,2.056384,160,0,0,0,0,123.4
2022,7,13,3,0,28.33,69.71,2.056384,180,0,0,0,0,116.57
2022,7,13,4,0,27.78,71.78,1.542288,180,0,0,0,0,107.5
2022,7,13,5,0,27.22,76.7,2.57048,160,0,0,0,0,96.93
2022,7,13,6,0,26.67,78.99,2.056384,165,0,41,123,31,85.22
2022,7,13,7,0,26.11,84.41,1.542288,170,0,215,435,89,73.15
2022,7,13,8,0,28.33,79.47,3.084576,190,0,421,606,123,60.58
2022,7,13,9,0,30,71.93,3.598672,190,0,619,702,147,47.76
2022,7,13,10,0,32.78,55.72,3.084576,200,0,786,761,161,34.88
2022,7,13,11,0,35,44.45,1.542288,200,0,909,803,165,22.24
2022,7,13,12,0,36.11,39.03,4.112768,200,0,974,829,161,11.3
2022,7,13,13,0,37.78,35.63,1.542288,162.5,0,910,553,367,10.97
2022,7,13,14,0,40,31.6,1.542288,125,0,709,229,496,21.75
2022,7,13,15,0,40.56,29.45,1.542288,87.5,0,325,2,323,34.36
2022,7,13,16,0,40,27.5,2.056384,50,0,476,157,370,47.25
2022,7,13,17,0,40.56,28.54,3.084576,150,0,426,607,124,60.08
2022,7,13,18,0,40.56,28.54,4.626864,180,0,222,446,89,72.67
2022,7,13,19,0,39.44,30.47,3.084576,140,0,46,153,33,84.79
2022,7,13,20,0,36.11,44.74,8.739632,150,0,0,0,0,96.52
2022,7,13,21,0,33.89,49.09,5.655056,170,0,0,0,0,107.16
2022,7,13,22,0,32.78,53.87,6.169152,180,0,0,0,0,116.33
2022,7,13,23,0,31.11,61.24,4.626864,180,0,0,0,0,123.3
